epoch,loss,acc_train,acc_val,acc_test
1,1.9446035623550415,0.42142857142857143,0.252,0.24
2,1.941253423690796,0.2571428571428571,0.176,0.187
3,1.9340118169784546,0.37857142857142856,0.238,0.234
4,1.9294836521148682,0.4857142857142857,0.284,0.291
5,1.9172481298446655,0.6571428571428571,0.372,0.376
6,1.911587119102478,0.7857142857142857,0.548,0.53
7,1.9056178331375122,0.8928571428571429,0.724,0.743
8,1.8987947702407837,0.9142857142857143,0.758,0.8
9,1.886710524559021,0.9214285714285714,0.79,0.8
10,1.8892916440963745,0.9,0.77,0.793
11,1.8738394975662231,0.8928571428571429,0.76,0.784
12,1.8720182180404663,0.9,0.77,0.785
13,1.8640260696411133,0.9,0.76,0.788
14,1.855008602142334,0.8928571428571429,0.768,0.788
15,1.8345928192138672,0.8928571428571429,0.77,0.774
16,1.8261735439300537,0.9,0.758,0.752
17,1.8215587139129639,0.9,0.714,0.723
18,1.8134820461273193,0.9,0.712,0.702
19,1.823216199874878,0.8928571428571429,0.704,0.703
20,1.7964866161346436,0.8785714285714286,0.7,0.699
21,1.784794569015503,0.9,0.696,0.699
22,1.7501569986343384,0.9071428571428571,0.694,0.695
23,1.7615842819213867,0.9214285714285714,0.692,0.692
24,1.7512696981430054,0.9357142857142857,0.68,0.682
25,1.74906325340271,0.9357142857142857,0.682,0.682
26,1.7134596109390259,0.9357142857142857,0.696,0.694
27,1.7105158567428589,0.9357142857142857,0.712,0.71
28,1.7017292976379395,0.9357142857142857,0.72,0.72
29,1.6825847625732422,0.9357142857142857,0.738,0.733
30,1.6725062131881714,0.9285714285714286,0.748,0.745
31,1.6381356716156006,0.9428571428571428,0.756,0.748
32,1.6600055694580078,0.9357142857142857,0.76,0.757
33,1.6475526094436646,0.9357142857142857,0.776,0.762
34,1.618182897567749,0.9428571428571428,0.784,0.779
35,1.6025700569152832,0.95,0.794,0.787
36,1.6186351776123047,0.95,0.79,0.794
37,1.6113227605819702,0.95,0.792,0.791
38,1.546244740486145,0.95,0.796,0.792
39,1.5639547109603882,0.95,0.796,0.792
40,1.5796728134155273,0.95,0.796,0.793
41,1.5490195751190186,0.95,0.796,0.794
42,1.516335368156433,0.95,0.79,0.796
43,1.5592460632324219,0.95,0.784,0.794
44,1.4814938306808472,0.95,0.782,0.784
45,1.4798799753189087,0.9571428571428572,0.782,0.781
46,1.4935649633407593,0.9571428571428572,0.782,0.787
47,1.4108606576919556,0.95,0.786,0.79
48,1.4650055170059204,0.95,0.786,0.79
49,1.4252387285232544,0.95,0.794,0.79
50,1.3619896173477173,0.9571428571428572,0.804,0.79
51,1.420926570892334,0.9571428571428572,0.804,0.789
52,1.3979778289794922,0.9642857142857143,0.8,0.801
53,1.376978874206543,0.9642857142857143,0.814,0.809
54,1.376733422279358,0.9642857142857143,0.82,0.814
55,1.305951714515686,0.9714285714285714,0.82,0.818
56,1.3074525594711304,0.9714285714285714,0.822,0.825
57,1.3143384456634521,0.9714285714285714,0.824,0.828
58,1.2923671007156372,0.9714285714285714,0.826,0.833
59,1.30398690700531,0.9785714285714285,0.824,0.839
60,1.3069179058074951,0.9785714285714285,0.822,0.841
61,1.2530369758605957,0.9714285714285714,0.826,0.842
62,1.1583563089370728,0.9714285714285714,0.822,0.838
63,1.20664644241333,0.9714285714285714,0.814,0.835
64,1.2368158102035522,0.9714285714285714,0.808,0.833
65,1.2576128244400024,0.9785714285714285,0.804,0.834
66,1.1805814504623413,0.9857142857142858,0.808,0.834
67,1.1677112579345703,0.9857142857142858,0.806,0.825
68,1.2040868997573853,0.9857142857142858,0.804,0.819
69,1.129512906074524,0.9857142857142858,0.806,0.815
70,1.1731996536254883,0.9857142857142858,0.8,0.812
71,1.2116612195968628,0.9857142857142858,0.798,0.808
72,1.1175885200500488,0.9857142857142858,0.8,0.809
73,1.1637510061264038,0.9857142857142858,0.798,0.811
74,1.1082592010498047,0.9857142857142858,0.8,0.81
75,1.1429520845413208,0.9857142857142858,0.8,0.809
76,1.0773468017578125,0.9785714285714285,0.804,0.807
77,1.1003875732421875,0.9785714285714285,0.802,0.81
78,1.091103196144104,0.9857142857142858,0.804,0.813
79,1.0371636152267456,0.9857142857142858,0.804,0.815
80,1.0246118307113647,0.9857142857142858,0.81,0.821
81,1.0711582899093628,0.9857142857142858,0.814,0.824
82,1.0912303924560547,0.9857142857142858,0.814,0.827
83,1.021317958831787,0.9857142857142858,0.81,0.828
84,1.112494945526123,0.9857142857142858,0.806,0.831
85,1.0343886613845825,0.9857142857142858,0.802,0.836
86,1.124061942100525,0.9857142857142858,0.804,0.837
87,0.9458733797073364,0.9857142857142858,0.812,0.834
88,1.0627977848052979,0.9857142857142858,0.812,0.834
89,0.997100293636322,0.9857142857142858,0.812,0.833
90,0.9670940041542053,0.9928571428571429,0.812,0.833
91,1.0154871940612793,0.9928571428571429,0.812,0.834
92,0.8809284567832947,0.9928571428571429,0.814,0.832
93,1.0338904857635498,0.9928571428571429,0.812,0.832
94,0.961791455745697,0.9928571428571429,0.814,0.831
95,1.0240986347198486,0.9928571428571429,0.814,0.832
96,0.9642820954322815,0.9928571428571429,0.812,0.832
97,0.9493430256843567,0.9928571428571429,0.816,0.828
98,0.8680418729782104,0.9928571428571429,0.816,0.831
99,0.9585726857185364,0.9928571428571429,0.812,0.829
100,0.9901208877563477,0.9857142857142858,0.812,0.827
101,0.9399601817131042,0.9857142857142858,0.814,0.825
102,1.0071167945861816,0.9857142857142858,0.814,0.824
103,0.9232305288314819,0.9857142857142858,0.812,0.821
104,0.9893044829368591,0.9857142857142858,0.81,0.82
105,0.9336041212081909,0.9857142857142858,0.808,0.817
106,0.8904517889022827,0.9857142857142858,0.806,0.816
107,0.982042133808136,0.9857142857142858,0.808,0.818
108,0.884608268737793,0.9857142857142858,0.808,0.823
109,0.9173077344894409,0.9857142857142858,0.808,0.824
110,0.8874815106391907,0.9857142857142858,0.808,0.82
111,0.9370361566543579,0.9857142857142858,0.814,0.824
112,0.9331368803977966,0.9857142857142858,0.814,0.825
113,0.9030317664146423,0.9857142857142858,0.808,0.826
114,0.9030371308326721,0.9928571428571429,0.804,0.825
115,0.8166065216064453,0.9928571428571429,0.804,0.824
116,0.8926517367362976,0.9928571428571429,0.804,0.824
117,0.874007523059845,0.9928571428571429,0.804,0.822
118,0.8541536331176758,0.9928571428571429,0.804,0.822
119,0.9123290777206421,0.9928571428571429,0.804,0.823
120,0.9045138359069824,0.9928571428571429,0.812,0.827
121,0.8245314359664917,0.9928571428571429,0.814,0.829
122,0.772784948348999,0.9928571428571429,0.814,0.831
123,0.880278468132019,0.9857142857142858,0.812,0.832
124,0.8058816194534302,0.9857142857142858,0.814,0.833
125,0.8746894001960754,0.9857142857142858,0.814,0.831
126,0.7935957312583923,0.9857142857142858,0.808,0.831
127,0.8683087229728699,0.9857142857142858,0.81,0.825
128,0.8542967438697815,0.9857142857142858,0.808,0.822
129,0.8439586758613586,0.9857142857142858,0.808,0.82
130,0.7880776524543762,0.9857142857142858,0.806,0.817
131,0.8109481334686279,0.9857142857142858,0.808,0.82
132,0.8757798075675964,0.9857142857142858,0.808,0.821
133,0.7875703573226929,0.9857142857142858,0.81,0.823
134,0.866093635559082,0.9857142857142858,0.812,0.826
135,0.8326810002326965,0.9857142857142858,0.814,0.831
136,0.7349206209182739,0.9928571428571429,0.814,0.83
137,0.8296105861663818,0.9928571428571429,0.812,0.831
138,0.8126459717750549,0.9928571428571429,0.812,0.83
139,0.8059121370315552,0.9928571428571429,0.812,0.83
140,0.8684800863265991,0.9928571428571429,0.806,0.833
141,0.8289846181869507,0.9928571428571429,0.806,0.834
142,0.8140397071838379,0.9928571428571429,0.81,0.834
143,0.8310138583183289,0.9928571428571429,0.812,0.832
144,0.7665885090827942,0.9928571428571429,0.81,0.834
145,0.7976131439208984,0.9928571428571429,0.81,0.83
146,0.8004973530769348,0.9928571428571429,0.81,0.827
147,0.7900934219360352,0.9928571428571429,0.812,0.825
148,0.7716398239135742,0.9928571428571429,0.812,0.824
149,0.7876269817352295,0.9857142857142858,0.814,0.824
150,0.8173143267631531,0.9857142857142858,0.814,0.821
151,0.8348577618598938,0.9857142857142858,0.81,0.823
152,0.7461754679679871,0.9857142857142858,0.808,0.824
153,0.8226318955421448,0.9857142857142858,0.808,0.823
154,0.8688837885856628,0.9857142857142858,0.81,0.823
155,0.8502194285392761,0.9857142857142858,0.812,0.822
156,0.8020965456962585,0.9857142857142858,0.812,0.826
157,0.7155875563621521,0.9857142857142858,0.812,0.827
158,0.791757345199585,0.9857142857142858,0.814,0.826
159,0.7037665843963623,0.9928571428571429,0.814,0.826
160,0.7639178037643433,0.9928571428571429,0.808,0.826
161,0.7732330560684204,0.9928571428571429,0.812,0.826
162,0.7688544392585754,0.9928571428571429,0.808,0.823
163,0.7566770315170288,0.9928571428571429,0.806,0.82
164,0.6818757057189941,0.9928571428571429,0.804,0.816
165,0.7179752588272095,0.9928571428571429,0.806,0.814
166,0.7745112180709839,0.9928571428571429,0.802,0.815
167,0.779829204082489,0.9928571428571429,0.8,0.815
168,0.7293084859848022,0.9857142857142858,0.802,0.812
169,0.7124193906784058,0.9857142857142858,0.804,0.811
170,0.7816222310066223,0.9857142857142858,0.804,0.813
171,0.7077333331108093,0.9857142857142858,0.806,0.816
172,0.6846702694892883,0.9857142857142858,0.802,0.817
173,0.833581268787384,0.9857142857142858,0.804,0.819
174,0.7580080032348633,0.9857142857142858,0.808,0.82
175,0.7590516805648804,0.9857142857142858,0.806,0.824
176,0.6766701340675354,0.9928571428571429,0.806,0.828
177,0.7026369571685791,0.9928571428571429,0.812,0.828
178,0.6873629093170166,0.9857142857142858,0.81,0.828
179,0.750484824180603,0.9857142857142858,0.808,0.829
180,0.7137219309806824,0.9857142857142858,0.808,0.829
181,0.7646379470825195,0.9857142857142858,0.808,0.828
182,0.7086465358734131,0.9928571428571429,0.81,0.826
183,0.7518694400787354,0.9928571428571429,0.81,0.825
184,0.6991639733314514,0.9928571428571429,0.81,0.825
185,0.6757810115814209,0.9928571428571429,0.812,0.825
186,0.778987467288971,0.9928571428571429,0.812,0.825
187,0.6182213425636292,0.9928571428571429,0.808,0.824
188,0.6742619276046753,0.9928571428571429,0.81,0.821
189,0.7437782883644104,0.9928571428571429,0.81,0.822
190,0.7028977870941162,0.9928571428571429,0.806,0.819
191,0.7130687236785889,0.9928571428571429,0.802,0.818
192,0.6148626208305359,0.9928571428571429,0.802,0.819
193,0.7271425724029541,0.9928571428571429,0.802,0.817
194,0.690013587474823,0.9928571428571429,0.8,0.817
195,0.7171099781990051,0.9928571428571429,0.8,0.818
196,0.7477183938026428,0.9928571428571429,0.8,0.818
197,0.7026772499084473,0.9928571428571429,0.802,0.818
198,0.6960605978965759,0.9928571428571429,0.802,0.82
199,0.6562243103981018,0.9928571428571429,0.802,0.82
200,0.7041506767272949,0.9928571428571429,0.804,0.818
